"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
-4,-4,9143,9143,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,9144,9144,14,1,2,93000,12,70000,12,-2,12,-2,13,121200,14,-4,125000
-4,-4,9145,9145,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9146,9146,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9147,9146,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9148,9148,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,9149,9149,10,2,1,36900,12,-5,-5,20948,12,-5,-5,-5,-5,-5,-5
-4,-4,9150,9150,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9151,9151,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9152,9152,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9153,9152,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9154,9154,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,9155,9155,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,9156,9156,13,2,2,1944,12,8400,12,12000,12,12960,12,14720,12,-4,-3
2002,2012,9157,9156,13,2,2,27500,11,27000,11,27552,11,24200,11,28000,11,-4,40000
-4,-4,9158,9158,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9159,9158,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9160,9160,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9161,9160,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9162,9160,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9163,9160,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9164,9160,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9165,9160,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2016,9166,9166,10,2,1,19000,12,-5,-5,-5,-5,-5,-5,84000,12,-4,74000
-4,-4,9167,9167,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9168,9167,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9169,9167,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9170,9170,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9171,9170,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9172,9172,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9173,9172,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,9174,9174,14,1,2,79535,12,77780,12,91390,12,120000,12,79720,12,-4,99160
-4,-4,9175,9175,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9176,9175,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9177,9177,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9178,9177,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9179,9179,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,9180,9180,13,2,2,4800,12,7400,12,400,12,7668,12,-2,12,-5,-5
2004,2012,9181,9180,10,2,1,82000,12,265064,12,8640,12,77970,12,922631,12,-4,-3
2000,2010,9182,9180,13,2,2,39000,12,83184,12,-2,12,50400,12,69000,12,-4,-3
2000,2010,9183,9183,13,2,2,9996,12,1932,12,11424,12,9480,12,9300,12,-4,182
-4,-4,9184,9184,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9185,9184,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9186,9186,10,2,1,0,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9187,9187,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,9188,9188,13,2,2,24000,12,46000,12,66000,12,84000,12,32000,12,-4,30000
